af,[-0.01187455 -0.00962502]
am,[0.01154117 0.00975273]
ar,[0.00044264 0.00455286]
az,[0.00310114 0.00451661]
be,[-0.01100999  0.02363883]
bg,[-0.01697709  0.00692254]
bn,[0.00853834 0.02301264]
ca,[-0.0180621  -0.01226269]
ceb,[ 0.01317319 -0.01493092]
co,[-0.00570214 -0.01313706]
cs,[-0.01938714  0.00195899]
cy,[-0.00343911 -0.0064594 ]
da,[-0.0168723  -0.00976064]
de,[-0.01412862 -0.00469979]
el,[-0.01141632  0.00073143]
eo,[-0.00804425 -0.00597317]
es,[-0.02089117 -0.01298584]
et,[-0.01071     0.00207332]
eu,[-0.00220998 -0.00299584]
fa,[0.00121178 0.00831388]
fi,[-0.01026479 -0.00117269]
fr,[-0.01512772 -0.00770329]
fy,[-0.00287404 -0.01245927]
ga,[ 0.00041026 -0.00488621]
gd,[ 0.00626393 -0.00828364]
gl,[-0.01524232 -0.01087617]
gu,[0.00988739 0.02328106]
ha,[ 0.01903907 -0.01486666]
haw,[ 0.02018085 -0.01681941]
hi,[0.00533514 0.02354398]
hmn,[ 0.01923549 -0.01475869]
hr,[-0.01896514  0.00026447]
ht,[ 0.00162995 -0.00888273]
hu,[-0.01016479  0.00142093]
hy,[-0.00354861  0.01020775]
id,[-0.00436492 -0.01351788]
ig,[ 0.02166407 -0.01533959]
is,[-0.00403715 -0.00538302]
it,[-0.0173457  -0.01020642]
iw,[-0.00463285  0.00489463]
ja,[0.00061336 0.00885843]
jw,[ 0.00599479 -0.01209702]
ka,[-0.00100126  0.01181395]
kk,[-0.00057606  0.0196336 ]
km,[0.0102663  0.00447178]
kn,[0.01111673 0.02141561]
ko,[0.00074982 0.00927529]
ku,[ 0.0179289  -0.01083889]
ky,[0.00424025 0.01028875]
lb,[-0.00563875 -0.01000344]
lo,[ 0.01045639 -0.00400405]
lt,[-0.00939607  0.00554296]
lv,[-0.01162427  0.00597967]
mg,[ 0.01303265 -0.01312385]
mi,[ 0.02075631 -0.01477102]
mk,[-0.01443447  0.00616403]
ml,[0.01187966 0.01972754]
mn,[0.00390508 0.0092593 ]
mr,[0.0103586  0.02398045]
ms,[-0.00028362 -0.01302878]
mt,[-0.00567659 -0.00743797]
my,[0.01284447 0.00241413]
ne,[0.00983007 0.01909396]
nl,[-0.01767366 -0.00933327]
no,[-0.01685928 -0.01025252]
ny,[ 0.01608916 -0.01689799]
pa,[0.01212964 0.02210118]
pl,[-0.0159195   0.00203379]
ps,[0.01041248 0.0114519 ]
pt,[-0.01757349 -0.00945227]
ro,[-0.01400238 -0.00672227]
ru,[-0.01457831  0.02373533]
sd,[0.01550815 0.01288101]
si,[0.01162295 0.01400848]
sk,[-0.01849585  0.00230611]
sl,[-0.01583483  0.00030098]
sm,[ 0.01845946 -0.01574688]
sn,[ 0.01973554 -0.01640795]
so,[ 0.01460007 -0.00973059]
sq,[-0.00955206 -0.0061263 ]
sr,[-0.01082047  0.00027904]
st,[ 0.01608095 -0.01562618]
su,[ 0.00840897 -0.01379491]
sv,[-0.01642199 -0.00806837]
sw,[ 0.01067255 -0.01144472]
ta,[0.010286   0.01632982]
te,[0.01122894 0.0194283 ]
tg,[0.00143613 0.00888592]
th,[0.00313934 0.00293799]
tl,[ 0.00292397 -0.01234859]
tr,[-0.00188255  0.00383233]
uk,[-0.01322097  0.0141162 ]
ur,[0.01051401 0.01879692]
uz,[0.00191382 0.01305049]
vi,[ 0.00309327 -0.00493775]
xh,[ 0.01590702 -0.00940314]
yi,[3.43164125e-03 3.09076676e-05]
yo,[ 0.01829782 -0.0151992 ]
zh,[-0.00182007  0.00643766]
zu,[ 0.01286173 -0.0098095 ]
