Language Pair,Finetuning Language Pair,Relative BLEU Change
af-en,mr-en,-0.640517696473
am-en,mr-en,-0.878711912561
ar-en,mr-en,-0.742724998947
az-en,mr-en,-0.711900551736
be-en,mr-en,-0.786468342481
bg-en,mr-en,-0.511710076375
bn-en,mr-en,-0.370448225649
bs-en,mr-en,-0.735705893376
ca-en,mr-en,-0.591357789315
ceb-en,mr-en,-0.772488817518
co-en,mr-en,-0.69255844064
cs-en,mr-en,-0.778019053599
cy-en,mr-en,-0.896107398325
da-en,mr-en,-0.609276976594
de-en,mr-en,-0.533716734287
el-en,mr-en,-0.57886635668
eo-en,mr-en,-0.639058594502
es-en,mr-en,-0.455946399945
et-en,mr-en,-0.845748788677
eu-en,mr-en,-0.81173011029
fa-en,mr-en,-0.656059240081
fi-en,mr-en,-0.839369518146
fr-en,mr-en,-0.520458019215
fy-en,mr-en,-0.831032953472
ga-en,mr-en,-0.872435980678
gd-en,mr-en,-0.874593528197
gl-en,mr-en,-0.491089382125
gu-en,mr-en,-0.304354583104
ha-en,mr-en,-0.811065391535
haw-en,mr-en,-0.789684311176
hi-en,mr-en,-0.0265597795269
hmn-en,mr-en,-0.688348064658
hr-en,mr-en,-0.740371563378
ht-en,mr-en,-0.825304338457
hu-en,mr-en,-0.837031626837
hy-en,mr-en,-0.761236880733
id-en,mr-en,-0.643693954697
ig-en,mr-en,-0.797839778314
is-en,mr-en,-0.808814505788
it-en,mr-en,-0.518076098228
iw-en,mr-en,-0.781136038896
ja-en,mr-en,-0.47768952319
jw-en,mr-en,-0.810667636261
ka-en,mr-en,-0.738610841986
kk-en,mr-en,-0.77206445486
km-en,mr-en,-0.748335361647
kn-en,mr-en,-0.619715438788
ko-en,mr-en,-0.477247367866
ku-en,mr-en,-0.833706644511
ky-en,mr-en,-0.845949479099
lb-en,mr-en,-0.750212124253
lo-en,mr-en,-0.75526659022
lt-en,mr-en,-0.838309405984
lv-en,mr-en,-0.859343813392
mg-en,mr-en,-0.795826546713
mi-en,mr-en,-0.759236225211
mk-en,mr-en,-0.579127638591
ml-en,mr-en,-0.687475874155
mn-en,mr-en,-0.785745398971
mr-en,mr-en,-0.006168424295
ms-en,mr-en,-0.642490200124
mt-en,mr-en,-0.862495576963
my-en,mr-en,-0.703409808842
