Language Code,Language Name,Family,Sub-Family,Script,Morphological Typology
af,Afrikaans,Indo-European,Germanic,Roman,Weakly Fusional
am,Amharic,Afroasiatic,Semitic,Ge'ez,Fusional
ar,Arabic,Afroasiatic,Semitic,Arabic,Fusional
az,Azerbaijani,Turkic,Common Turkic,Roman,Agglutinative
be,Belarusian,Indo-European,Slavic,Cyrillic,Fusional
bg,Bulgarian,Indo-European,Slavic,Cyrillic,Fusional
bn,Bengali,Indo-European,Indo-Iranian,Eastern Nagari,Fusional
ca,Catalan,Indo-European,Romance,Roman,Fusional
ceb,Cebuano,Austronesian,Malayo-Polynesian,Roman,Agglutinative
co,Corsican,Indo-European,Romance,Roman,Fusional
cs,Czech,Indo-European,Slavic,Roman,Fusional
cy,Welsh,Indo-European,Celtic,Roman,Fusional
da,Danish,Indo-European,Germanic,Roman,Analytic
de,German,Indo-European,Germanic,Roman,Fusional
el,Greek,Indo-European,Hellenic,Greek,Fusional
eo,Esperanto,Constructed,International auxiliary language,Roman,Agglutinative
es,Spanish,Indo-European,Romance,Roman,Fusional
et,Estonian,Uralic,Finnic,Roman,Agglutinative
eu,Basque,Vasconic,Basque,Roman,Agglutinative
fa,Persian,Indo-European,Indo-Iranian,Arabic,Agglutinative
fi,Finnish,Uralic,Finnic,Roman,Agglutinative
fr,French,Indo-European,Romance,Roman,Fusional
fy,Frisian,Indo-European,Germanic,Roman,Weakly Fusional
ga,Irish,Indo-European,Celtic,Roman,Fusional
gd,Scots_Gaelic,Indo-European,Celtic,Roman,Fusional
gl,Galician,Indo-European,Romance,Roman,Fusional
gu,Gujarati,Indo-European,Indo-Iranian,Gujarati,Fusional
ha,Hausa,Afroasiatic,Chadic,Roman,Fusional
haw,Hawaiian,Austronesian,Malayo-Polynesian,Roman,Agglutinative
hi,Hindi,Indo-European,Indo-Iranian,Devanagari,Fusional
hmn,Hmong,Hmong–Mien,Hmongic,Roman,Analytic
hr,Croatian,Indo-European,Slavic,Roman,Fusional
ht,Haitian_Creole,Indo-European,Romance,Roman,Fusional
hu,Hungarian,Uralic,Finno-Ugric,Roman,Agglutinative
hy,Armenian,Indo-European,Armenian,Armenian,Agglutinative
id,Indonesian,Austronesian,Malayo-Polynesian,Roman,Agglutinative
ig,Igbo,Niger-Congo: Atlantic Congo,Volta-Congo,Roman,Agglutinative
is,Icelandic,Indo-European,Germanic,Roman,Fusional
it,Italian,Indo-European,Romance,Roman,Fusional
iw,Hebrew,Afroasiatic,Semitic,Hebrew,Weakly Fusional
ja,Japanese,Japonic,Japanese,Japanese,Agglutinative
jw,Javanese,Austronesian,Malayo-Polynesian,Roman,Agglutinative
ka,Georgian,Kartvelian,Karto-Zan,Georgian,Agglutinative
kk,Kazakh,Turkic,Common Turkic,Cyrillic,Agglutinative
km,Khmer,Austroasiatic,Khmer,Khmer,Analytic
kn,Kannada,Dravidian,South Dravidian,Kannada,Agglutinative
ko,Korean,Koreanic,Buyeo,Hangul,Agglutinative
