,af-en,am-en,ar-en,az-en,be-en,bg-en,bn-en,bs-en,ca-en,ceb-en,co-en,cs-en,cy-en,da-en,de-en,el-en,en-af,en-am,en-ar,en-az,en-be,en-bg,en-bn,en-bs,en-ca,en-ceb,en-co,en-cs,en-cy,en-da,en-de,en-el,en-eo,en-es,en-et,en-eu,en-fa,en-fi,en-fr,en-fy,en-ga,en-gd,en-gl,en-gu,en-ha,en-haw,en-hi,en-hmn,en-hr,en-ht,en-hu,en-hy,en-id,en-ig,en-is,en-it,en-iw,en-ja,en-jw,en-ka,en-kk,en-km,en-kn,en-ko,en-ku,en-ky,en-lb,en-lo,en-lt,en-lv,en-mg,en-mi,en-mk,en-ml,en-mn,en-mr,en-ms,en-mt,en-my,en-ne,en-nl,en-no,en-ny,en-pa,en-pl,en-ps,en-pt,en-ro,en-ru,en-sd,en-si,en-sk,en-sl,en-sm,en-sn,en-so,en-sq,en-sr,en-st,en-su,en-sv,en-sw,en-ta,en-te,en-tg,en-th,en-tl,en-tr,en-uk,en-ur,en-uz,en-vi,en-xh,en-yi,en-yo,en-zh,en-zu,eo-en,es-en,et-en,eu-en,fa-en,fi-en,fr-en,fy-en,ga-en,gd-en,gl-en,gu-en,ha-en,haw-en,hi-en,hmn-en,hr-en,ht-en,hu-en,hy-en,id-en,ig-en,is-en,it-en,iw-en,ja-en,jw-en,ka-en,kk-en,km-en,kn-en,ko-en,ku-en,ky-en,lb-en,lo-en,lt-en,lv-en,mg-en,mi-en,mk-en,ml-en,mn-en,mr-en,ms-en,mt-en,my-en,ne-en,nl-en,no-en,ny-en,pa-en,pl-en,ps-en,pt-en,ro-en,ru-en,sd-en,si-en,sk-en,sl-en,sm-en,sn-en,so-en,sq-en,sr-en,st-en,su-en,sv-en,sw-en,ta-en,te-en,tg-en,th-en,tl-en,tr-en,uk-en,ur-en,uz-en,vi-en,xh-en,yi-en,yo-en,zh-en,zu-en
af-en,1,0.610607365,0.617001138,0.625994854,0.622183859,0.630311551,0.621068275,0.629713748,0.631228492,0.631783298,0.629093586,0.627895212,0.63360763,0.647252074,0.63857455,0.629232539,0.649628807,0.64963963,0.649636449,0.649631391,0.64963996,0.649632872,0.649641715,0.64963704,0.64962961,0.649639843,0.649637115,0.649630389,0.649630193,0.649624464,0.649631638,0.649637518,0.649631918,0.649634866,0.649626075,0.649633094,0.649637076,0.649626056,0.649633633,0.649627496,0.64963456,0.649633924,0.649637707,0.649638406,0.649637198,0.649636786,0.649637732,0.649635237,0.64963464,0.64963378,0.649636783,0.649639799,0.649632325,0.649639202,0.649627855,0.649628692,0.649634164,0.649637119,0.649637504,0.649642168,0.649635787,0.649633353,0.649639892,0.64963452,0.649632332,0.649634133,0.649629641,0.64963487,0.649637791,0.649635372,0.649632273,0.649633718,0.64963578,0.649633264,0.649633722,0.649640423,0.649625757,0.649630693,0.649637924,0.64964043,0.649628729,0.649621408,0.649640463,0.649638841,0.649635107,0.649632368,0.649635099,0.649627645,0.64963736,0.649634231,0.649639071,0.649631187,0.649631351,0.649637786,0.649630568,0.649630928,0.649632793,0.649631839,0.649634913,0.649630911,0.649627071,0.649636269,0.649641298,0.649634399,0.649634574,0.649636735,0.649640301,0.649633795,0.649638526,0.649633276,0.649627983,0.649635332,0.649635049,0.649638085,0.649635602,0.649641679,0.649637899,0.636484537,0.632862687,0.62829403,0.628581122,0.627293469,0.628129042,0.633010582,0.660726234,0.627267901,0.636419368,0.632406528,0.623390663,0.620302001,0.634422361,0.621755801,0.633265894,0.629327669,0.633268543,0.62847982,0.626318666,0.639782747,0.61880967,0.631405477,0.633628113,0.617384536,0.625664609,0.637147982,0.624059774,0.62176755,0.608578761,0.624519434,0.628897269,0.627063302,0.619760966,0.640148209,0.635281915,0.622295902,0.629125423,0.625579299,0.625332293,0.628445137,0.613466065,0.622615999,0.616949906,0.634939059,0.625318007,0.623332066,0.617739261,0.733067643,0.646756516,0.625022509,0.624276251,0.630120947,0.626757504,0.636889528,0.633122551,0.622949194,0.615140105,0.615403274,0.626331852,0.629739406,0.628907435,0.615841498,0.613297545,0.633476666,0.633213744,0.62707635,0.6373842,0.642708899,0.627773491,0.621931954,0.619430784,0.626381847,0.633583333,0.634124498,0.626628887,0.622370039,0.619191525,0.623097156,0.633220958,0.611185699,0.62218283,0.634757091,0.628645422,0.616274415
am-en,0.610607365,1,0.605098562,0.608387774,0.61061051,0.617091061,0.570729169,0.609603434,0.608543168,0.611699751,0.608443549,0.607417131,0.611494566,0.614354238,0.608418463,0.612209227,0.620157436,0.6201512,0.620151665,0.620157511,0.620154227,0.620150902,0.620154692,0.620154121,0.620148941,0.620153927,0.620158622,0.620156169,0.620149265,0.620147774,0.620152133,0.620146883,0.6201497,0.620152299,0.620153416,0.620156601,0.620151582,0.620154163,0.620148971,0.620150274,0.620147145,0.620152218,0.620154986,0.620153424,0.62015684,0.620154881,0.620150323,0.620152329,0.620154008,0.620144629,0.620153396,0.620152518,0.620159133,0.620150763,0.620140669,0.620157276,0.620152499,0.620154091,0.620154816,0.62015035,0.620161297,0.62015176,0.620144309,0.620148475,0.620157182,0.620152285,0.620144899,0.62014378,0.620156191,0.620156131,0.620146967,0.620150585,0.620144889,0.620143083,0.620157338,0.620149297,0.62015707,0.620150365,0.620154538,0.620155765,0.620153034,0.620151013,0.620155585,0.620147464,0.620155923,0.620154057,0.620155961,0.620154342,0.620154196,0.62015131,0.620152023,0.620154467,0.620154815,0.620154779,0.620151976,0.620156097,0.620155379,0.620151962,0.620151861,0.620145535,0.620144313,0.620149855,0.620148406,0.620142846,0.620156462,0.620159848,0.620144671,0.620154837,0.620147949,0.620149788,0.620156674,0.620155875,0.620152547,0.620135127,0.620144894,0.620164595,0.62015759,0.613981443,0.611158865,0.606772699,0.606730229,0.617443565,0.607208184,0.612163554,0.613316458,0.609581449,0.613242659,0.611101923,0.574018383,0.605696783,0.604191874,0.615067671,0.609529804,0.609429849,0.610334928,0.607140136,0.601087718,0.614364464,0.597553459,0.609027037,0.611677401,0.601680935,0.612604417,0.611698602,0.591437101,0.609360584,0.537447154,0.573993409,0.614157601,0.6073765,0.608373037,0.610802864,0.600370985,0.605172626,0.609571039,0.605016615,0.603872568,0.617046571,0.563971593,0.609850782,0.606478604,0.613192332,0.610502689,0.593004339,0.611407574,0.611489673,0.614356469,0.606743626,0.57625047,0.607696196,0.618118859,0.613707403,0.61017962,0.609724487,0.592955681,0.562977805,0.607656566,0.608528753,0.602011656,0.600355768,0.60114703,0.613666725,0.612063711,0.606446422,0.612004171,0.612099483,0.614480448,0.568628478,0.581628389,0.613547152,0.611593362,0.613485807,0.609433315,0.611572959,0.60715077,0.60802658,0.609295951,0.602731388,0.593968965,0.609180525,0.615533001,0.605575208
ar-en,0.617001138,0.605098562,1,0.612900079,0.614419145,0.621256186,0.610037634,0.614709341,0.61534135,0.614269575,0.612328694,0.612730166,0.61675668,0.61843089,0.612888674,0.618986186,0.625325167,0.625332636,0.625328132,0.625333427,0.625328701,0.625321625,0.625340051,0.625327081,0.625331419,0.625330812,0.625334506,0.625324431,0.625329673,0.625316784,0.625326165,0.625330096,0.625327458,0.625327127,0.625326086,0.625331576,0.625331636,0.625323702,0.625325144,0.625330134,0.625331592,0.625329807,0.625331902,0.625342245,0.625333636,0.625337771,0.625334726,0.625329181,0.625331762,0.625326286,0.625328843,0.625331555,0.625327789,0.625332645,0.625326206,0.625322726,0.625331638,0.62533168,0.625332868,0.625332078,0.62532444,0.625321905,0.625337369,0.625336267,0.625334186,0.625327067,0.625326123,0.625335021,0.625323141,0.625325599,0.625328156,0.625328685,0.625326636,0.625342216,0.625327605,0.625340814,0.625323396,0.625333185,0.625328375,0.62533395,0.625326804,0.625323319,0.625333485,0.625339564,0.62532575,0.625331324,0.625331479,0.625323138,0.625322521,0.625340398,0.625331152,0.625324137,0.625330457,0.625329652,0.625338258,0.625326869,0.625320789,0.625326319,0.6253373,0.625334742,0.62532464,0.625330092,0.625340659,0.625346023,0.625329064,0.625332367,0.625326674,0.625326982,0.625328116,0.625335702,0.625327169,0.625324084,0.625328124,0.625340004,0.625335299,0.625323359,0.625336183,0.617171377,0.617296214,0.611683732,0.612197967,0.626563047,0.612895047,0.616140739,0.618561055,0.614723382,0.620102243,0.616445241,0.618214498,0.609236753,0.613854297,0.615643529,0.615647692,0.61443797,0.615382434,0.613012465,0.620095314,0.620289945,0.604852675,0.614611305,0.617048773,0.615364786,0.617864165,0.619420202,0.621092227,0.615342509,0.596744613,0.615263077,0.619087743,0.611167195,0.612216587,0.616203291,0.619330196,0.610048233,0.614337449,0.61043649,0.608485431,0.618452663,0.603516537,0.615612061,0.608054066,0.618334926,0.612722402,0.610195778,0.611278735,0.61707802,0.61938607,0.610436017,0.615033219,0.614884501,0.617779516,0.619444249,0.617162624,0.615084941,0.605116779,0.606800716,0.613109018,0.614037682,0.610244993,0.604571701,0.604377768,0.616588557,0.617642182,0.611739977,0.619417044,0.618176965,0.61615477,0.613976578,0.614106919,0.617450356,0.623632895,0.616741987,0.61400336,0.614844329,0.611926731,0.612091803,0.617945682,0.603875235,0.608204385,0.615197272,0.622565659,0.608771071
az-en,0.625994854,0.608387774,0.612900079,1,0.616544419,0.623581286,0.617487893,0.622043185,0.621799815,0.626323107,0.619467557,0.620471934,0.624960811,0.626996566,0.621831817,0.62241736,0.633086189,0.633084998,0.633087488,0.633088299,0.633089599,0.63308928,0.633082396,0.633091763,0.633081848,0.633086384,0.633089036,0.633082435,0.633081257,0.633082657,0.633081404,0.633087882,0.633085475,0.63307616,0.633083478,0.633090911,0.633088873,0.633077566,0.633081877,0.633093454,0.633087916,0.633086298,0.633086178,0.63308979,0.633090208,0.633094914,0.633083279,0.633085925,0.633089352,0.633088309,0.633082451,0.633087684,0.633081486,0.633082825,0.633086409,0.633080241,0.633085167,0.633078766,0.633091185,0.633083504,0.633087951,0.633091115,0.633083824,0.633086943,0.633091271,0.63309193,0.633097755,0.633088676,0.633085921,0.633087907,0.633091246,0.633088745,0.633084588,0.633085876,0.633088088,0.633092183,0.633080323,0.633089217,0.633081114,0.633083982,0.633084227,0.633086819,0.633082938,0.63308835,0.633088077,0.633093022,0.633083817,0.633087768,0.633089348,0.633093915,0.633086253,0.633082709,0.633090204,0.633091598,0.633082701,0.63308237,0.63308751,0.633086745,0.633090303,0.633091597,0.633084937,0.633080701,0.63308132,0.633083053,0.633092953,0.633082232,0.633087842,0.633090278,0.633086085,0.633089466,0.633094873,0.633084615,0.63308474,0.633086548,0.633093233,0.633083393,0.633083564,0.626003262,0.623268577,0.620658261,0.622522398,0.624437741,0.620128295,0.622482374,0.627428899,0.62131397,0.629562774,0.6227836,0.621294292,0.617905225,0.629883441,0.61827883,0.632313396,0.622401299,0.626334989,0.621712405,0.623981918,0.630175309,0.61563527,0.621677209,0.624066764,0.612525266,0.621612155,0.630067794,0.623821034,0.620578997,0.602546397,0.619674431,0.624450303,0.626357646,0.62041152,0.625326836,0.632718537,0.617134493,0.621158968,0.620835941,0.621874953,0.621384226,0.609350953,0.620806362,0.612492532,0.627377647,0.61944765,0.62183444,0.614738871,0.625818887,0.626954887,0.619294556,0.620716718,0.622883527,0.62118138,0.62498593,0.624327598,0.617710691,0.609838648,0.613488969,0.619698847,0.621336266,0.624890346,0.61229167,0.611065314,0.626758841,0.625443869,0.621673236,0.628943549,0.625645745,0.623080017,0.62026136,0.617813558,0.623757179,0.627535279,0.626383577,0.691019158,0.618522927,0.613841862,0.625174298,0.62870534,0.608173845,0.614933481,0.628958288,0.62288861,0.612933972
be-en,0.622183859,0.61061051,0.614419145,0.616544419,1,0.634842054,0.614656973,0.623088853,0.620177224,0.61924159,0.616312996,0.621158036,0.619864486,0.622873887,0.619222355,0.624654578,0.626174789,0.626176487,0.626170683,0.626171805,0.626173546,0.62617567,0.626175113,0.626175773,0.626173213,0.626172693,0.626171607,0.626174684,0.626173224,0.626170904,0.626171208,0.626174454,0.626175385,0.626175227,0.626179451,0.626174512,0.626180381,0.62617491,0.626174424,0.626170322,0.62617584,0.626166763,0.626173406,0.626173476,0.626178955,0.626176579,0.62617848,0.626178419,0.626179829,0.626177064,0.626180422,0.626171953,0.626175537,0.626182611,0.626172846,0.626167115,0.626174628,0.626165026,0.626179277,0.626171117,0.626162954,0.626177876,0.626173699,0.626175924,0.626172526,0.626169655,0.626170929,0.626173918,0.626178745,0.626175633,0.626173147,0.626173068,0.62618022,0.626172744,0.626169224,0.626172822,0.62617565,0.626171212,0.626167208,0.626175465,0.626173985,0.626174738,0.626181061,0.626179471,0.626174533,0.626180694,0.626172015,0.626176178,0.626172179,0.626176939,0.626173488,0.626174058,0.626181154,0.626177023,0.626175888,0.626178368,0.626179473,0.626173715,0.626177695,0.626176046,0.626180231,0.626180046,0.626176751,0.62617599,0.626173615,0.626171288,0.626176287,0.626173742,0.626172923,0.626179977,0.626172295,0.626173242,0.626164716,0.626172301,0.62617788,0.626168136,0.626170533,0.623265427,0.621477472,0.618970474,0.616783209,0.623357607,0.617104863,0.621248849,0.623283226,0.618332195,0.623166885,0.62046536,0.6197924,0.611792602,0.620815596,0.616911856,0.621955958,0.623318848,0.619322012,0.61804264,0.631094894,0.622777737,0.608717209,0.61944988,0.622049042,0.617396047,0.619940272,0.621769584,0.630867271,0.646138903,0.600328874,0.619107136,0.622148486,0.618009217,0.621632045,0.620581528,0.626206564,0.618068153,0.62414074,0.615269365,0.61411846,0.629386897,0.609848575,0.621704619,0.610022479,0.621240369,0.615207584,0.616514081,0.612347681,0.623573813,0.623050633,0.615294758,0.620346425,0.624753888,0.618507805,0.622558613,0.621710274,0.700968623,0.608011523,0.611050494,0.621054766,0.622406939,0.61604307,0.607625351,0.607236087,0.621451374,0.630400291,0.615691937,0.622813961,0.621882831,0.618316958,0.616964725,0.618325701,0.62691408,0.62509752,0.621370413,0.617624381,0.648687184,0.612668626,0.627739087,0.621800258,0.606099036,0.614634848,0.620199057,0.622250735,0.610382911
bg-en,0.630311551,0.617091061,0.621256186,0.623581286,0.634842054,1,0.626580033,0.632986567,0.629536001,0.626862691,0.625728381,0.628935994,0.628708207,0.634734142,0.626940355,0.633068447,0.641913111,0.641917015,0.641918406,0.641916439,0.641918334,0.641917594,0.641918687,0.641918237,0.641914879,0.641911736,0.641906162,0.641917067,0.641920325,0.641913611,0.641911746,0.641923491,0.641913428,0.641918902,0.64191143,0.641918797,0.641916045,0.641918651,0.641909184,0.64191256,0.641915331,0.641914412,0.641916838,0.641920703,0.64190796,0.641907965,0.641916605,0.641910551,0.641924034,0.641913347,0.641918419,0.64191524,0.641914326,0.641912989,0.641917661,0.641906309,0.641919756,0.641912035,0.641912215,0.641919684,0.641912951,0.641915519,0.641918339,0.641922424,0.641902766,0.641911154,0.641915266,0.641919255,0.641921208,0.64192019,0.641905502,0.641910401,0.641924954,0.641917079,0.641912152,0.641915894,0.641917663,0.641914968,0.641910536,0.641913122,0.641917918,0.641919619,0.641917884,0.641915041,0.641916165,0.641912124,0.641916236,0.641919868,0.641915163,0.641917421,0.641918797,0.64192,0.641919568,0.641914341,0.641915585,0.641906595,0.641915937,0.641917828,0.641909551,0.641914013,0.641926502,0.641912706,0.641923132,0.641924973,0.641913375,0.64191775,0.64191648,0.641917666,0.641920986,0.641918612,0.641913492,0.641914027,0.641916362,0.641917106,0.641917058,0.641915292,0.641910046,0.633216568,0.630676979,0.625541909,0.62439542,0.630374635,0.624584622,0.629920284,0.634836879,0.625039396,0.631450809,0.630098467,0.631212151,0.618442737,0.627486544,0.626848987,0.628806395,0.632553065,0.62976619,0.625580547,0.63519171,0.632608294,0.613942295,0.627094413,0.632666896,0.624549973,0.626792246,0.6302995,0.632386007,0.631879395,0.610741134,0.628988933,0.628777466,0.624772326,0.628997201,0.631793521,0.630618236,0.624231713,0.630622512,0.620764694,0.620547493,0.673323764,0.618816182,0.629380501,0.619271155,0.62903952,0.624915908,0.621866904,0.622142902,0.632872412,0.633305499,0.618644981,0.629967645,0.631653189,0.630688386,0.633328235,0.632796731,0.649231471,0.616968366,0.620459042,0.628325107,0.630461002,0.621857959,0.613756836,0.612750618,0.632723172,0.649810406,0.621705738,0.630767985,0.632229568,0.62585763,0.627328194,0.626319585,0.635529632,0.632659238,0.629840655,0.624938322,0.641485652,0.622180699,0.625452799,0.630164589,0.612537736,0.621564278,0.629280097,0.629632878,0.616282395
bn-en,0.621068275,0.570729169,0.610037634,0.617487893,0.614656973,0.626580033,1,0.618920628,0.620305706,0.621820814,0.616783995,0.615788149,0.621626997,0.628526573,0.619267957,0.615461803,0.643325739,0.643324929,0.643326675,0.643324708,0.643330719,0.643331829,0.643324872,0.64332986,0.643319669,0.643338243,0.643338084,0.643322596,0.643317834,0.64332891,0.64332626,0.643324504,0.643330785,0.643325754,0.643323726,0.643328675,0.643323103,0.643327057,0.643324747,0.643334378,0.64332412,0.643328885,0.643328571,0.643322395,0.643336604,0.643338423,0.643324381,0.643323085,0.643325467,0.643331971,0.643322283,0.643327342,0.643333455,0.6433286,0.6433217,0.643330787,0.643329459,0.643325667,0.643337534,0.643330048,0.643321216,0.643328087,0.643332211,0.64331921,0.643333875,0.643333452,0.643322535,0.643332193,0.643321232,0.643324661,0.643335973,0.643334269,0.643328385,0.643337227,0.643321456,0.643330314,0.643323412,0.643328022,0.643329717,0.643331249,0.643328214,0.643330688,0.643327349,0.643328173,0.64332634,0.643323191,0.643333273,0.643329751,0.643333114,0.643326447,0.643328997,0.643321354,0.643321713,0.643323984,0.643332778,0.643321267,0.643330129,0.643331913,0.643327701,0.643327513,0.643327776,0.643328222,0.643328193,0.643329675,0.64332877,0.643322334,0.643325585,0.643320749,0.64332824,0.643325598,0.643323361,0.64332345,0.643328339,0.643332576,0.643332334,0.643326234,0.643324372,0.625631258,0.623021295,0.615679537,0.615910414,0.624738109,0.616870778,0.622102007,0.625414452,0.616700051,0.620264587,0.622114128,0.604521053,0.608993147,0.602519861,0.641163987,0.60875774,0.618997242,0.621332812,0.61641841,0.601236466,0.629117922,0.595457179,0.617174757,0.623362196,0.601569222,0.623017227,0.624543364,0.590941103,0.614564106,0.558197562,0.603785299,0.619978749,0.617625918,0.612094067,0.624781964,0.59406687,0.614673265,0.619518128,0.609592038,0.605271254,0.627718778,0.586533971,0.615250255,0.633734011,0.625444852,0.619872264,0.584190512,0.631732825,0.62478944,0.62740429,0.611420159,0.601147167,0.617536688,0.630725794,0.627326524,0.621473954,0.618392638,0.610833888,0.577174342,0.615379481,0.616826693,0.604004048,0.606219302,0.605038197,0.622726656,0.617912465,0.608038382,0.624224646,0.624606323,0.622037707,0.589771174,0.593430809,0.618623367,0.618932393,0.62804196,0.620421119,0.616879552,0.626661386,0.614001145,0.616643474,0.608188768,0.595819412,0.61633485,0.627469275,0.612353858
bs-en,0.629713748,0.609603434,0.614709341,0.622043185,0.623088853,0.632986567,0.618920628,1,0.628089019,0.626626597,0.625097648,0.634060393,0.627083263,0.634435307,0.625695033,0.626263505,0.640931828,0.64093456,0.640933777,0.640932566,0.640939181,0.640926187,0.640940764,0.64092735,0.640933666,0.64093585,0.640933487,0.640930987,0.640933528,0.640932225,0.64093329,0.640927962,0.640933588,0.640931154,0.640928148,0.640937666,0.640936617,0.640929761,0.64093462,0.640935782,0.640932664,0.640940918,0.640935187,0.640936575,0.640941421,0.640935021,0.640930958,0.64093172,0.640929218,0.640939107,0.640929882,0.640929653,0.640927947,0.640942304,0.640931419,0.640929088,0.64093398,0.640935026,0.640939821,0.640933038,0.64092442,0.640937178,0.64094209,0.640934232,0.64093708,0.640930943,0.640933939,0.640934065,0.640926466,0.640925385,0.640937489,0.640937563,0.640930555,0.640941336,0.640935344,0.640936724,0.640930245,0.640928262,0.640939198,0.640939455,0.640933058,0.640925098,0.640936889,0.640935271,0.640936496,0.640935893,0.640928995,0.640926372,0.640931632,0.640933513,0.640938502,0.640929324,0.640930463,0.640934668,0.640934162,0.640934269,0.640925621,0.640925698,0.64093846,0.640933685,0.640937388,0.640932295,0.640938157,0.640941425,0.640929558,0.640933283,0.64093534,0.640931874,0.640931135,0.640940041,0.640931384,0.640929644,0.640938362,0.640934013,0.640933792,0.640933241,0.640937064,0.63301845,0.63030664,0.625863481,0.624625482,0.624147709,0.624711286,0.62768524,0.633445307,0.62316713,0.62965977,0.629581916,0.620711365,0.616802957,0.625474654,0.620737344,0.626039506,0.957213231,0.626619066,0.624980093,0.624399483,0.633187258,0.613319562,0.626051846,0.629893499,0.615146697,0.621911374,0.630633419,0.620840244,0.61936749,0.608468459,0.621118999,0.623083994,0.623397134,0.617403519,0.629515036,0.625276546,0.624650149,0.62935676,0.62057362,0.619805278,0.637069072,0.612005314,0.619204745,0.613379502,0.628812312,0.623168977,0.615980849,0.616737387,0.632038333,0.635065383,0.61975096,0.620370941,0.634188241,0.622932979,0.63275784,0.63280722,0.624893599,0.612096794,0.614087439,0.633165846,0.654270385,0.621219299,0.613096964,0.611807993,0.633847516,0.704499355,0.620966982,0.630480211,0.632281842,0.62437185,0.620158566,0.616651872,0.622328885,0.62700876,0.629329439,0.624319067,0.625239237,0.615904389,0.621129788,0.627612615,0.610081658,0.615969558,0.627596765,0.623641462,0.615042009
ca-en,0.631228492,0.608543168,0.61534135,0.621799815,0.620177224,0.629536001,0.620305706,0.628089019,1,0.628405927,0.63904105,0.625256718,0.62914185,0.635293422,0.628324577,0.62874103,0.647778589,0.647768602,0.647772177,0.647769222,0.647759536,0.647765381,0.647773244,0.647764118,0.647763442,0.647763168,0.647768306,0.647765354,0.647763973,0.647772351,0.647771839,0.647770242,0.647764239,0.64776259,0.647765677,0.647764386,0.647773262,0.647763711,0.647771244,0.647774268,0.647767845,0.647761319,0.647766061,0.647773851,0.647765618,0.647767613,0.647769052,0.647774949,0.647763275,0.647773597,0.647762082,0.647765998,0.647772277,0.647762423,0.647767225,0.647766497,0.647769488,0.647772403,0.647772912,0.64776957,0.647764291,0.647774128,0.64777183,0.647769245,0.647767457,0.647766332,0.647777748,0.647775153,0.647767846,0.647763947,0.647763739,0.647772269,0.647762977,0.647770339,0.647762495,0.647771785,0.647775736,0.647767663,0.647770573,0.647774244,0.647774557,0.647774943,0.647763577,0.64776868,0.647762006,0.64777662,0.647763804,0.647761859,0.647764231,0.647774183,0.64776955,0.64776852,0.647766102,0.647764825,0.647765124,0.647763442,0.647765272,0.647764434,0.647763565,0.647770235,0.647771368,0.647769458,0.647771149,0.647768361,0.647765576,0.647770628,0.647766484,0.647763482,0.647763563,0.647770217,0.647765752,0.647769262,0.647768176,0.647772635,0.647768387,0.647773259,0.647768194,0.633764649,0.72782487,0.623773265,0.629383605,0.62531284,0.624128204,0.641777636,0.634350544,0.625494127,0.631425772,0.662016484,0.619491273,0.616390919,0.626061524,0.620468786,0.626643041,0.627740288,0.630941149,0.625217283,0.622259356,0.633763577,0.613746986,0.625169648,0.648145282,0.615712715,0.622252592,0.631346531,0.618537099,0.618220533,0.609810396,0.619552336,0.624446188,0.62302666,0.616574163,0.63099251,0.624973234,0.620688634,0.625253641,0.622639096,0.620023199,0.626837843,0.611024162,0.619280048,0.614659813,0.628689453,0.627422152,0.618371453,0.616424558,0.633508131,0.634116851,0.620209956,0.618943736,0.627549326,0.623669477,0.657752906,0.640709089,0.621072764,0.611828687,0.611607236,0.623808034,0.625700291,0.621309665,0.614711946,0.612400389,0.633286815,0.628671676,0.622410801,0.629720927,0.632892166,0.625529665,0.616196329,0.614462639,0.622095637,0.627116087,0.631203255,0.623834335,0.621365476,0.616697389,0.619368182,0.628286425,0.612573184,0.616186271,0.629648301,0.625618678,0.616262063
ceb-en,0.631783298,0.611699751,0.614269575,0.626323107,0.61924159,0.626862691,0.621820814,0.626626597,0.628405927,1,0.630676059,0.624350013,0.634236913,0.637339258,0.627126671,0.627180231,0.66004677,0.660050867,0.660047069,0.660048683,0.660051571,0.660046505,0.660048178,0.660048746,0.66004173,0.660048383,0.660049756,0.660055151,0.660049223,0.660053024,0.660058009,0.660054979,0.660048931,0.660050419,0.660055591,0.660047424,0.660049849,0.660057292,0.660048422,0.66004873,0.660040622,0.6600498,0.660046491,0.660044399,0.660056847,0.660047029,0.660040893,0.660049592,0.660055732,0.660050627,0.660053265,0.660058589,0.660052759,0.660050757,0.660049,0.660052998,0.66004998,0.660051781,0.660053432,0.660048107,0.660047806,0.660053997,0.660041122,0.66005481,0.660051233,0.660057779,0.660049983,0.660047457,0.66005266,0.660047183,0.660054489,0.66004722,0.660051161,0.660050415,0.660047107,0.660051666,0.660042236,0.660037107,0.660053859,0.660046533,0.660052734,0.660054035,0.660053776,0.660049855,0.660055126,0.660047044,0.660058731,0.660052431,0.660052282,0.660048609,0.660048153,0.660049931,0.660050332,0.660050717,0.660052623,0.660051493,0.660040689,0.6600512,0.660048324,0.660052862,0.6600555,0.660045579,0.660051188,0.660046678,0.660052714,0.660053879,0.660041246,0.660052643,0.66005356,0.6600451,0.66004469,0.660051334,0.660048336,0.66004973,0.660047031,0.660059276,0.660052057,0.633356993,0.632017095,0.623857421,0.627774122,0.627064248,0.624236066,0.627677358,0.640954648,0.628702045,0.641536688,0.630784653,0.627751978,0.627932963,0.646839925,0.623618293,0.64684261,0.626750755,0.636101909,0.624376133,0.625936356,0.644444997,0.628723735,0.627823294,0.631456933,0.616232555,0.625211076,0.64312797,0.625100162,0.620389454,0.608923322,0.627179108,0.630056879,0.631674692,0.62125064,0.635883584,0.641620265,0.619503288,0.625464926,0.631405735,0.634330295,0.624623558,0.615081552,0.621753471,0.617623872,0.639227939,0.629089997,0.629130524,0.6208456,0.634024122,0.637111862,0.631783672,0.62602169,0.626509252,0.62792903,0.634685904,0.630163996,0.61935564,0.617092674,0.616144665,0.623084344,0.625346654,0.64034553,0.623624157,0.617241074,0.634443254,0.630719985,0.634108983,0.642522678,0.63276509,0.63349843,0.62466109,0.624213777,0.626321051,0.634952251,0.724590829,0.628404127,0.620707438,0.618613232,0.623212304,0.638813308,0.615035513,0.619647652,0.644906758,0.627070383,0.620952155
